Consectutivo_curso;Nombre;Fecha_inicio;Fecha_creación;Curso_nuevo;Programa;NumCursos;NumCursosFac;Keywords;Valor_por_hora;Categoría;Facultad;Modalidad;Estado;Valor_Tarifa;Departamento;Estado;Punto_equilibrio;Meta;Cupomaximo;Inscritos;Cantidadinscritostotales;validaExitoso
CUR-0003273;Curso Competencias Transversales en la Educación Superior;28/06/2016;1/04/2016;Si;No;24;1;Procesos de educación, cursos de educación, tecnología educativa,  educación superior, educación continua;71428.57;Actualización Profesional;EDUCACION;Presencial;Finalizado;500000.00;Educación;Finalizado;18;40;50;16;16;0
CUR-0003291;Tercer campamento de verano - las Tecnologías de Información más cerca de TI 2016;20/06/2016;1/04/2016;Si;Si;24;7;Cursos en ingeniería, como ser lider en ingenieria, cursos en  reingeniería,  gerencia proyectos en ingenieria, liderar proyectos en ingenieria;16547.62;Niños y Jóvenes;INGENIERIA;Presencial;Finalizado;1390000.00;Ingeniería Sistemas;Finalizado;21;22;40;33;33;1
CUR-0003295;Curso de Investigación en Salud y Epidemiología;4/08/2016;1/06/2016;Si;No;58;2;Cursos presenciales medicina, medicina interna, diplomado en medicina, diplomados presenciales en medicina, oferta cursos medicina;82192.31;Actualización Profesional;MEDICINA;Presencial;Finalizado;2137000.00;Medicina;Finalizado;12;20;70;18;18;1
CUR-0003295;Curso de Investigación en Salud y Epidemiología;4/08/2016;1/06/2016;Si;No;58;2;Cursos presenciales medicina, medicina interna, diplomado en medicina, diplomados presenciales en medicina, oferta cursos medicina;11538.46;Actualización Profesional;MEDICINA;Presencial;Finalizado;300000.00;Medicina;Finalizado;12;20;70;18;18;1
CUR-0003305;Curso Buenas Prácticas en Modalidad Blended para Educación Superior;7/06/2016;1/04/2016;Si;No;24;1;Procesos de educación, cursos de educación, tecnología educativa,  educación superior, educación continua;50000.00;Actualización Profesional;EDUCACION;Presencial;Finalizado;1200000.00;Educación;Finalizado;13;40;50;9;9;0
CUR-0003306;Taller Cómo Publicar en Revistas Indexadas (ISI y SCOPUS) de Ciencias Sociales: criterios, retos y habilidades;27/06/2016;1/04/2016;Si;No;24;1;Procesos de educación, cursos de educación, tecnología educativa,  educación superior, educación continua;71428.57;Actualización Profesional;EDUCACION;Presencial;Finalizado;500000.00;Educación;Finalizado;22;35;40;46;46;1
CUR-0003308;Curso Diseño de Programas y Cursos en Modalidad Mixta o Blended;13/06/2016;1/04/2016;Si;No;24;1;Procesos de educación, cursos de educación, tecnología educativa,  educación superior, educación continua;50000.00;Actualización Profesional;EDUCACION;Semipresencial / Blended;Finalizado;1200000.00;Educación;Finalizado;13;40;50;31;31;1
CUR-0003309;Curso Investigando la Innovación Educativa;29/06/2016;1/04/2016;Si;No;24;1;Procesos de educación, cursos de educación, tecnología educativa,  educación superior, educación continua;50000.00;Actualización Profesional;EDUCACION;Presencial;Finalizado;800000.00;Educación;Finalizado;14;35;40;27;27;1
CUR-0003313;Curso implementación de BIM para diseño de proyectos;31/05/2016;1/03/2016;Si;No;15;1;universidad de los Andes, Arquitectura, carrera de arquitectura, diplomados, oferta de cursos uniandes;46428.57;Actualización Profesional;ARQUITECTURA Y DISENO;Presencial;Finalizado;1950000.00;Arquitectura;Finalizado;10;15;21;17;17;1
CUR-0003324;Curso de Modelación de la Calidad del Agua en Rios;25/02/2016;1/12/2015;Si;No;0;0;Cursos en ingeniería, como ser lider en ingenieria, cursos en  reingeniería,  gerencia proyectos en ingenieria, liderar proyectos en ingenieria;63000.00;Actualización Profesional;INGENIERIA;Presencial;Finalizado;2520000.00;Ingeniería Civil y Ambiental;Finalizado;15;20;40;33;33;1
CUR-0003341;Workshop Public Speaking for Professional English Settings 201610;16/02/2016;1/12/2015;Si;No;0;0;Aprender idiomas, lenguas, cursos de preparacion de idiomas, estudiar ingles, lenguas modernas;47857.14;Actualización Profesional;CIENCIAS SOCIALES;Presencial;Finalizado;2680000.00;Lenguas y Cultura;Finalizado;11;15;20;18;18;1
CUR-0003350;Curso Economía y Finanzas para la Empresa. ¿Cómo emplear Excel para la toma de decisiones?;7/06/2016;1/04/2016;Si;No;24;0;Economía colombiana, curso de economía uniandes, fundamentos de economía, ciencias económicas, economía naranja;72222.22;Actualización Profesional;ECONOMIA;Presencial;Finalizado;3250000.00;Economía;Finalizado;9;20;30;14;14;1
CUR-0003352;Workshop Creative Writing in English 2016;1/03/2016;1/01/2016;Si;No;0;0;Aprender idiomas, lenguas, cursos de preparacion de idiomas, estudiar ingles, lenguas modernas;45000.00;Actualización Profesional;CIENCIAS SOCIALES;Presencial;Finalizado;1800000.00;Lenguas y Cultura;Finalizado;14;15;20;14;14;1
CUR-0003359;Curso Visual Merchandising y Vitrinismo;26/07/2016;1/05/2016;Si;No;42;2;Cursos de diseño, diseño gráfico, illustrator, photoshop, diseño e innovación;44444.44;Actualización Profesional;ARQUITECTURA Y DISENO;Presencial;Finalizado;1600000.00;Diseño;Finalizado;9;15;21;18;18;1
CUR-0003390;Curso Gestión Pública y Derecho Administrativo;30/09/2016;1/07/2016;Si;No;89;13;Carrera de derecho, abogacía, curso de derecho, cursos para abogados, curso de leyes;55000.00;Actualización Profesional;DERECHO;Presencial;Finalizado;2200000.00;Derecho;Finalizado;11;15;30;12;12;1
CUR-0003392;Curso Redacción de Contratos y Textos Jurídicos - Tercera promoción;30/08/2016;1/06/2016;Si;No;58;13;Carrera de derecho, abogacía, curso de derecho, cursos para abogados, curso de leyes;53800.00;Actualización Profesional;DERECHO;Presencial;Finalizado;1452600.00;Derecho;Finalizado;12;15;30;13;13;1
CUR-0003401;Curso Latinoamericano de Reasentamiento Involuntario - CLAR;20/06/2016;1/04/2016;Si;No;24;2;Cursos de antropología, antropología, carrera de antropología, licenciatura en antropología, taller de antropología;59523.81;Actualización Profesional;CIENCIAS SOCIALES;Presencial;Finalizado;5000000.00;Antropología;Finalizado;21;25;30;25;25;1
CUR-0003476;Taller Cómo desarrollar el pensamiento crítico y otras competencias en estudiantes universitarios;28/10/2016;1/08/2016;Si;No;95;14;Cursos presenciales medicina, medicina interna, diplomado en medicina, diplomados presenciales en medicina, oferta cursos medicina;83000.00;Actualización Profesional;CIENCIAS SOCIALES;Presencial;Finalizado;1328000.00;Psicología;Finalizado;28;28;30;28;28;1
CUR-0003642;Curso de Emergencias obstétricas para no obstetras;31/03/2017;1/01/2017;Si;No;60;4;cursos de medicina, talleres de facultad de medicina, curso de emergencias;47619.05;Actualización Profesional;MEDICINA;Presencial;Finalizado;1000000.00;Medicina;Finalizado;32;40;100;18;18;0
CUR-0003644;Curso Aportes de la psicología al posconflicto armado y a la construcción de la paz en Colombia;17/09/2016;1/07/2016;Si;No;89;11;Cursos presenciales medicina, medicina interna, diplomado en medicina, diplomados presenciales en medicina, oferta cursos medicina;46000.00;Actualización Profesional;CIENCIAS SOCIALES;Presencial;Finalizado;1288000.00;Psicología;Finalizado;14;20;20;17;17;1
CUR-0003647;Curso Mindfulness y la fórmula de la felicidad;22/10/2016;1/08/2016;Si;No;95;14;Cursos presenciales medicina, medicina interna, diplomado en medicina, diplomados presenciales en medicina, oferta cursos medicina;55238.10;Desarrollo Personal;CIENCIAS SOCIALES;Presencial;Finalizado;1160000.00;Psicología;Finalizado;14;20;20;14;14;1
CUR-0003648;Taller Coaching Educativo;29/10/2016;1/08/2016;No;No;95;14;Cursos presenciales medicina, medicina interna, diplomado en medicina, diplomados presenciales en medicina, oferta cursos medicina;46875.00;Actualización Profesional;CIENCIAS SOCIALES;Presencial;Finalizado;1500000.00;Psicología;Finalizado;15;18;22;20;20;1
CUR-0003926;Módulo teórico: Curso de Emergencias obstétricas para no obstetras;31/03/2017;1/01/2017;Si;No;60;4;cursos de medicina, talleres de facultad de medicina, curso de emergencias;50000.00;Actualización Profesional;MEDICINA;Presencial;Finalizado;350000.00;Medicina;Finalizado;0;40;100;7;25;1
