Consectutivo_curso;Nombre;Fecha_inicio;Fecha_creación;Curso_nuevo;Programa;NumCursos;NumCursosFac;Keywords;Valor_por_hora;Categoría;Facultad;Modalidad;validaExitoso;Fecha_busqueda;Fecha_ventana;Keywords_gt
CUR-0003273;Curso Competencias Transversales en la Educación Superior;28/06/2016;1/04/2016;1;0;24;1;['Procesos de educación', 'cursos de educación', 'tecnología educativa', 'educación superior', 'educación continua'];71428.57;Actualización Profesional;EDUCACION;Presencial;0;31/03/2016;4/10/2015;3.48
CUR-0003291;Tercer campamento de verano - las Tecnologías de Información más cerca de TI 2016;20/06/2016;1/04/2016;1;1;24;7;['Cursos en ingeniería', 'como ser lider en ingenieria', 'cursos en  reingeniería', 'gerencia proyectos en ingenieria', 'liderar proyectos en ingenieria'];16547.62;Niños y Jóvenes;INGENIERIA;Presencial;1;31/03/2016;4/10/2015;2.09
CUR-0003295;Curso de Investigación en Salud y Epidemiología;4/08/2016;1/06/2016;1;0;58;2;['Cursos presenciales medicina', 'medicina interna', 'diplomado en medicina', 'diplomados presenciales en medicina', 'oferta cursos medicina'];82192.31;Actualización Profesional;MEDICINA;Presencial;1;31/05/2016;4/12/2015;2.36
CUR-0003295;Curso de Investigación en Salud y Epidemiología;4/08/2016;1/06/2016;1;0;58;2;['Cursos presenciales medicina', 'medicina interna', 'diplomado en medicina', 'diplomados presenciales en medicina', 'oferta cursos medicina'];82192.31;Actualización Profesional;MEDICINA;Presencial;1;31/05/2016;4/12/2015;2.36
CUR-0003305;Curso Buenas Prácticas en Modalidad Blended para Educación Superior;7/06/2016;1/04/2016;1;0;24;1;['Procesos de educación', 'cursos de educación', 'tecnología educativa', 'educación superior', 'educación continua'];50000;Actualización Profesional;EDUCACION;Presencial;0;31/03/2016;4/10/2015;3.48
CUR-0003306;Taller Cómo Publicar en Revistas Indexadas (ISI y SCOPUS) de Ciencias Sociales: criterios, retos y habilidades;27/06/2016;1/04/2016;1;0;24;1;['Procesos de educación', 'cursos de educación', 'tecnología educativa', 'educación superior', 'educación continua'];71428.57;Actualización Profesional;EDUCACION;Presencial;1;31/03/2016;4/10/2015;3.48
CUR-0003308;Curso Diseño de Programas y Cursos en Modalidad Mixta o Blended;13/06/2016;1/04/2016;1;0;24;1;['Procesos de educación', 'cursos de educación', 'tecnología educativa', 'educación superior', 'educación continua'];50000;Actualización Profesional;EDUCACION;Semipresencial / Blended;1;31/03/2016;4/10/2015;3.48
CUR-0003309;Curso Investigando la Innovación Educativa;29/06/2016;1/04/2016;1;0;24;1;['Procesos de educación', 'cursos de educación', 'tecnología educativa', 'educación superior', 'educación continua'];50000;Actualización Profesional;EDUCACION;Presencial;1;31/03/2016;4/10/2015;3.48
CUR-0003313;Curso implementación de BIM para diseño de proyectos;31/05/2016;1/03/2016;1;0;15;1;['universidad de los Andes', 'Arquitectura', 'carrera de arquitectura', 'diplomados', 'oferta de cursos uniandes'];46428.57;Actualización Profesional;ARQUITECTURA Y DISENO;Presencial;1;29/02/2016;3/09/2015;10.48
CUR-0003324;Curso de Modelación de la Calidad del Agua en Rios;25/02/2016;1/12/2015;1;0;0;0;['Cursos en ingeniería', 'como ser lider en ingenieria', 'cursos en  reingeniería', 'gerencia proyectos en ingenieria', 'liderar proyectos en ingenieria'];63000;Actualización Profesional;INGENIERIA;Presencial;1;30/11/2015;4/06/2015;2.22
